,census_area,Rebate_dol,Fuel_Esc_Rate,Temp_Projection,NPV_weighted2,CO2_lbs_saved_weighted2,CO2_driving_miles_saved_weighted2,Heating_Days_Above5_weighted2,Heating_Days_Below5_weighted2,Heating_Days_Covered
31,Aleutians West Census Area,0,0.06,1.5,-7126.724758023198,2186.691141352592,2451.8075427586245,354.9442063119418,0.0,1.0
32,Aleutians West Census Area,0,0.06,3.0,-6288.143214359347,2084.5162408401034,2337.2448653783276,354.9442063119418,0.0,1.0
33,Aleutians West Census Area,0,0.09,0.0,-8611.462663099832,2273.6996878723453,2549.365083742506,355.51297091601225,0.0,1.0
34,Aleutians West Census Area,0,0.09,1.5,-7477.145576446188,2186.691141352592,2451.8075427586245,354.9442063119418,0.0,1.0
35,Aleutians West Census Area,0,0.09,3.0,-6461.0522790722325,2084.5162408401034,2337.2448653783276,354.9442063119418,0.0,1.0
36,Aleutians West Census Area,2000,0.03,0.0,-5678.571635231693,2273.6996878723453,2549.365083742506,355.51297091601225,0.0,1.0
37,Aleutians West Census Area,2000,0.03,1.5,-4900.02022753997,2186.691141352592,2451.8075427586245,354.9442063119418,0.0,1.0
38,Aleutians West Census Area,2000,0.03,3.0,-4202.613059540417,2084.5162408401034,2337.2448653783276,354.9442063119418,0.0,1.0
39,Aleutians West Census Area,2000,0.06,0.0,-6114.860086357832,2273.6996878723453,2549.365083742506,355.51297091601225,0.0,1.0
40,Aleutians West Census Area,2000,0.06,1.5,-5178.70847903135,2186.691141352592,2451.8075427586245,354.9442063119418,0.0,1.0
41,Aleutians West Census Area,2000,0.06,3.0,-4340.126935367498,2084.5162408401034,2337.2448653783276,354.9442063119418,0.0,1.0
42,Aleutians West Census Area,2000,0.09,0.0,-6663.446384107986,2273.6996878723453,2549.365083742506,355.51297091601225,0.0,1.0
43,Aleutians West Census Area,2000,0.09,1.5,-5529.1292974543385,2186.691141352592,2451.8075427586245,354.9442063119418,0.0,1.0
44,Aleutians West Census Area,2000,0.09,3.0,-4513.036000080383,2084.5162408401034,2337.2448653783276,354.9442063119418,0.0,1.0
45,Aleutians West Census Area,4000,0.03,0.0,-3730.5553562398454,2273.6996878723453,2549.365083742506,355.51297091601225,0.0,1.0
46,Aleutians West Census Area,4000,0.03,1.5,-2952.003948548121,2186.691141352592,2451.8075427586245,354.9442063119418,0.0,1.0
