BLOCK,FIPS,date,mean_2m_air_temperature,maximum_2m_air_temperature,minimum_2m_air_temperature,temperature_2m,temperature_2m_max,temperature_2m_min
2000,020680001002000,1.0,,,,262.43996806692405,265.491510999291,259.28494304095165
2020,020680001002020,1.0,,,,261.30678987137645,264.9836131371893,257.7377418438341
2097,020680001002097,1.0,,,,261.50062109629306,264.03052825927733,258.36050872802736
2021,020680001002021,1.0,,,,261.1939479192098,264.8486587524414,257.61980590820315
2145,020680001002145,1.0,,,,258.604584312439,261.054931640625,255.8935348510742
1067,020680001001067,1.0,,,,261.3638773217476,264.8924571596685,257.5951102079349
2156,020680001002156,1.0,,,,259.49906654524085,262.1425782106738,256.5767576987608
2081,020680001002081,1.0,,,,261.8796631094298,265.08534930561234,258.326238604847
2032,020680001002032,1.0,,,,261.4767367253608,264.9817503827645,258.23759873542747
2200,020680001002200,1.0,,,,260.7949488957723,263.20237884521487,257.8825714111328
2015,020680001002015,1.0,,,,261.4565048853556,265.1504730224609,257.8755874633789
1016,020680001001016,1.0,,,,261.1450425873455,264.6399641770583,257.2946364182692
2174,020680001002174,1.0,,,,258.59012304941814,260.9486572265625,255.9426055908203
2171,020680001002171,1.0,,,,258.604584312439,261.054931640625,255.8935348510742
2073,020680001002073,1.0,,,,263.1090846379598,265.6366821289063,260.1407135009766
2014,020680001002014,1.0,,,,261.36911450465374,265.054353760474,257.79707901620776
2074,020680001002074,1.0,,,,263.1090846379598,265.6366821289063,260.1407135009766
1014,020680001001014,1.0,,,,261.1921524683635,264.6478099822998,257.3317481040954
2161,020680001002161,1.0,,,,258.4912742402818,260.8490809644971,255.87180322351907
2090,020680001002090,1.0,,,,261.54703583264455,264.0740811242892,258.41253631224663
2157,020680001002157,1.0,,,,258.6063226722032,260.99547779617245,255.9294967692009
2092,020680001002092,1.0,,,,263.1090846379598,265.6366821289063,260.1407135009766
2183,020680001002183,1.0,,,,258.6120998000118,261.0885933779624,255.89085717810522
2088,020680001002088,1.0,,,,262.86818283466704,265.42115412848176,259.8103751000541
2177,020680001002177,1.0,,,,258.59012304941814,260.9486572265625,255.9426055908203
2124,020680001002124,1.0,,,,261.430463218689,263.7468994140625,258.4609146118164
2155,020680001002155,1.0,,,,259.658588218689,262.3042755126953,256.7407760620117
2012,020680001002012,1.0,,,,261.49784603118894,265.1562744140625,257.8970611572266
2019,020680001002019,1.0,,,,261.3295924504598,265.0108840942383,257.7615737915039
2123,020680001002123,1.0,,,,259.658588218689,262.3042755126953,256.7407760620117
2189,020680001002189,1.0,,,,262.8321199736075,265.5254121741097,259.9259647581662
2002,020680001002002,1.0,,,,262.30898901920347,265.40275096003757,258.775895630496
2144,020680001002144,1.0,,,,258.604584312439,261.054931640625,255.8935348510742
2023,020680001002023,1.0,,,,261.74133612137825,265.2679504405913,258.4581078340142
2079,020680001002079,1.0,,,,262.67058218805994,265.6228613009792,259.61235165311354
2098,020680001002098,1.0,,,,261.50062109629306,264.03052825927733,258.36050872802736
2102,020680001002102,1.0,,,,263.1090846379598,265.6366821289063,260.1407135009766
2191,020680001002191,1.0,,,,262.5656492675377,265.3360272043531,259.6809820328323
2008,020680001002008,1.0,,,,262.89433653269595,266.3851876443802,258.9983161761516
2152,020680001002152,1.0,,,,259.1709961229973,261.8100334159558,256.239439436456
2096,020680001002096,1.0,,,,262.5606344370581,265.0909258149657,259.5364073659062
2125,020680001002125,1.0,,,,260.9101151174232,263.3232427746737,257.9557599997219
1035,020680001001035,1.0,,,,261.26564388275153,264.66004943847656,257.3896423339844
2103,020680001002103,1.0,,,,263.1090846379598,265.6366821289063,260.1407135009766
2094,020680001002094,1.0,,,,263.1090846379598,265.6366821289063,260.1407135009766
2068,020680001002068,1.0,,,,263.1069707115576,265.6380767546194,260.14190048128864
2010,020680001002010,1.0,,,,261.6305604998851,265.1065078538903,258.0361777134329
2113,020680001002113,1.0,,,,261.506024472622,263.82186267648717,258.55385594268483
2072,020680001002072,1.0,,,,263.1090846379598,265.6366821289063,260.1407135009766
2134,020680001002134,1.0,,,,260.9229281874456,263.3322816160537,257.98910993202446
1017,020680001001017,1.0,,,,261.0304713567098,264.6208831787109,257.20438079833986
2172,020680001002172,1.0,,,,258.604584312439,261.054931640625,255.8935348510742
2070,020680001002070,1.0,,,,262.8885161040329,265.64277513208236,259.92374018962414
2160,020680001002160,1.0,,,,258.58972798829836,260.94825925808976,255.94232262066865
2176,020680001002176,1.0,,,,258.59012304941814,260.9486572265625,255.9426055908203
1033,020680001001033,1.0,,,,261.1921524683635,264.6478099822998,257.3317481040955
2026,020680001002026,1.0,,,,261.3295924504598,265.0108840942383,257.7615737915039
2136,020680001002136,1.0,,,,261.4557754107638,264.00428614748404,258.3396443288742
2077,020680001002077,1.0,,,,262.8160625194237,265.63320974425045,259.82419211362026
2099,020680001002099,1.0,,,,261.50062109629306,264.03052825927733,258.36050872802736
2154,020680001002154,1.0,,,,259.658588218689,262.3042755126953,256.7407760620117
2142,020680001002142,1.0,,,,259.896899363672,262.52014048792483,257.07637294813253
2007,020680001002007,1.0,,,,262.9326126259982,266.38633958331343,259.0121339173879
1018,020680001001018,1.0,,,,261.0304713567098,264.6208831787109,257.20438079833986
2178,020680001002178,1.0,,,,263.1090846379598,265.6366821289063,260.1407135009766
2194,020680001002194,1.0,,,,262.56151429051926,266.1541962143606,258.59463013390246
2018,020680001002018,1.0,,,,261.3295924504598,265.0108840942383,257.7615737915039
2093,020680001002093,1.0,,,,263.1090846379598,265.6366821289063,260.1407135009766
2141,020680001002141,1.0,,,,260.0009384791057,262.5986923217773,257.1811294555664
2122,020680001002122,1.0,,,,259.658588218689,262.3042755126953,256.7407760620117
2067,020680001002067,1.0,,,,261.8511919393713,264.58624071401226,258.9240104744822
1054,020680001001054,1.0,,,,260.9530847875284,264.42547044548337,257.3451470075322
2027,020680001002027,1.0,,,,261.1811326982256,264.79215902542103,257.70264747689214
1011,020680001001011,1.0,,,,261.05399387604854,264.6244774975595,257.22207287888415
2147,020680001002147,1.0,,,,258.77264258066805,261.4062469482422,255.8298568725586
2062,020680001002062,1.0,,,,260.58356064563554,263.23152985172544,257.6288943637067
2121,020680001002121,1.0,,,,259.64809060057024,262.2244209565269,256.81067576253497
2091,020680001002091,1.0,,,,262.82361305518316,265.3516204688385,259.8247611271516
2140,020680001002140,1.0,,,,260.0009384791057,262.5986923217773,257.1811294555664
2169,020680001002169,1.0,,,,258.6555907631885,261.2871323096245,255.65755321523355
2028,020680001002028,1.0,,,,261.1939479192098,264.8486587524414,257.61980590820315
2133,020680001002133,1.0,,,,261.2235639190101,263.6374357861754,258.23937921972913
2175,020680001002175,1.0,,,,258.59012304941814,260.9486572265625,255.9426055908203
1041,020680001001041,1.0,,,,261.2656528429834,264.6601556491085,257.3892017946999
2170,020680001002170,1.0,,,,258.59012304941814,260.9486572265625,255.9426055908203
2071,020680001002071,1.0,,,,262.41342813428855,265.53819875957987,259.31576687696855
1013,020680001001013,1.0,,,,261.18725304073763,264.64699401855466,257.32788848876953
2179,020680001002179,1.0,,,,258.43972255494873,260.9233747666004,255.57339664121085
1065,020680001001065,1.0,,,,261.2885337418203,264.7377415019452,257.46908418774836
2196,020680001002196,1.0,,,,258.77264258066805,261.4062469482422,255.8298568725586
1020,020680001001020,1.0,,,,261.0304713567098,264.6208831787109,257.20438079833986
