BLOCK,FIPS,date,mean_2m_air_temperature,maximum_2m_air_temperature,minimum_2m_air_temperature,temperature_2m,temperature_2m_max,temperature_2m_min
5008,022200001005008,1.0,,,,273.6234645207723,275.4306167602539,272.1757019042969
1141,022200001001141,1.0,,,,273.49991653463474,275.19774573023875,271.9473664850604
1469,022200001001469,1.0,,,,273.020132655089,275.026579496888,271.48199125719594
1514,022200001001514,1.0,,,,272.8766091294593,274.7090635171636,271.50755264421764
5003,022200001005003,1.0,,,,273.26275254050216,274.9929329306392,271.753378994182
1431,022200001001431,1.0,,,,275.27806613426094,277.0073632448259,273.6627859258063
1010,022200001001010,1.0,,,,273.37134216238525,275.1120515066754,272.023283552743
1185,022200001001185,1.0,,,,273.0684405313022,274.7531293122665,271.58449169656507
5007,022200001005007,1.0,,,,273.6234645207723,275.4306167602539,272.1757019042969
1122,022200001001122,1.0,,,,275.84203305925627,277.3945490835761,274.2766480107167
5002,022200001005002,1.0,,,,273.00423649923346,274.67925249542157,271.4507074644528
1300,022200001001300,1.0,,,,274.5615071740784,276.18463294314427,273.09621773928325
5008,022200001005008,2.0,,,,273.3904312769572,275.30018005371096,271.4242935180664
1141,022200001001141,2.0,,,,273.2124774176566,275.09981161641247,271.4363705414383
1469,022200001001469,2.0,,,,272.8516099284965,274.8649475042407,271.17699847434085
1514,022200001001514,2.0,,,,272.6933777306172,274.46766255666915,271.11433068724733
5003,022200001005003,2.0,,,,272.9584105098315,274.8961925959183,271.0546421891552
1431,022200001001431,2.0,,,,274.8367023549708,276.6149683925247,273.02147491409266
1010,022200001001010,2.0,,,,273.1355798863023,274.91934640517246,271.5601576323
1185,022200001001185,2.0,,,,272.76263586680096,274.6719846310823,270.999810359789
5007,022200001005007,2.0,,,,273.3904312769572,275.30018005371096,271.4242935180664
1122,022200001001122,2.0,,,,275.3107823629879,277.0816982574281,273.5671750442229
5002,022200001005002,2.0,,,,272.64878869361235,274.6066617679359,270.7897194712341
1300,022200001001300,2.0,,,,274.23036576259904,276.10784362650367,272.36017160253937
5008,022200001005008,3.0,,,,272.2858850479126,273.989762878418,270.81973419189455
1141,022200001001141,3.0,,,,271.73742847261275,273.5667125593361,270.28362050341565
1469,022200001001469,3.0,,,,271.23413761045407,273.2965806713763,269.5546199913905
1514,022200001001514,3.0,,,,271.1979666152369,272.92201174327585,269.7509125363064
5003,022200001005003,3.0,,,,271.5691971396322,273.35622788768706,270.1610604237702
1431,022200001001431,3.0,,,,272.915970761136,275.31188381409356,271.27765670503356
1010,022200001001010,3.0,,,,271.67202154519026,273.34565301554636,270.30534120936454
1185,022200001001185,3.0,,,,271.4700652661531,273.15318563710093,270.1174953294837
5007,022200001005007,3.0,,,,272.2858850479126,273.989762878418,270.81973419189455
1122,022200001001122,3.0,,,,273.47677208584344,275.7396790916508,271.86315663480406
5002,022200001005002,3.0,,,,271.0555593038856,272.90218431063045,269.68900031948544
1300,022200001001300,3.0,,,,273.2308489003963,274.8871318574824,271.66021283808016
5008,022200001005008,4.0,,,,272.22493470509846,273.7695571899414,270.7560104370117
1141,022200001001141,4.0,,,,271.8365014098006,273.3805730538516,270.58311584210276
1469,022200001001469,4.0,,,,271.26004865399386,273.3185012812118,269.78614951083324
1514,022200001001514,4.0,,,,271.0364919971768,272.9082241712319,269.49178700904537
5003,022200001005003,4.0,,,,271.5982757902414,273.15357089285123,270.2640905089297
1431,022200001001431,4.0,,,,273.232604656866,275.1504091657744,271.9201133814886
1010,022200001001010,4.0,,,,271.67250088576367,273.4536664171672,270.2654144888197
1185,022200001001185,4.0,,,,271.55134523640515,272.94823492298957,270.3701464777408
5007,022200001005007,4.0,,,,272.22493470509846,273.7695571899414,270.7560104370117
1122,022200001001122,4.0,,,,273.81464028391565,275.5731388009778,272.4630505770874
5002,022200001005002,4.0,,,,271.1491601779092,272.7121041611937,269.91153999942424
1300,022200001001300,4.0,,,,273.16049337626674,274.67018714457265,271.7656117807385
5008,022200001005008,5.0,,,,271.9405479431152,273.48316345214846,270.4750747680664
1141,022200001001141,5.0,,,,271.58210112958113,273.0711483348983,270.3160446518884
1469,022200001001469,5.0,,,,270.86211991502313,272.5537024008218,269.576204066923
1514,022200001001514,5.0,,,,270.4848859970708,271.92660050088733,269.3177254949429
5003,022200001005003,5.0,,,,271.27055655010673,272.81847161761783,269.80000056897177
1431,022200001001431,5.0,,,,272.89506849812886,274.6234093788136,271.770153473943
1010,022200001001010,5.0,,,,271.1520739801567,272.5952087765332,270.02802315655333
1185,022200001001185,5.0,,,,271.4024266229159,272.7564024883768,270.0918319702149
5007,022200001005007,5.0,,,,271.9405479431152,273.48316345214846,270.4750747680664
1122,022200001001122,5.0,,,,273.49145022373733,275.1490605695976,272.41875893130214
5002,022200001005002,5.0,,,,270.79038529969523,272.3420984691634,269.31618655929583
1300,022200001001300,5.0,,,,272.91119675931844,274.3954720431833,271.6430992214526
5008,022200001005008,6.0,,,,271.2562488555908,272.80086212158204,269.931867980957
1141,022200001001141,6.0,,,,270.94656379634176,272.6928673275681,269.487762539312
1469,022200001001469,6.0,,,,271.11991398912943,272.7847592528333,269.54662750616825
1514,022200001001514,6.0,,,,270.62044977162265,271.99244026188546,269.4049456680811
5003,022200001005003,6.0,,,,270.5440729970985,272.30492064912437,269.00717677746786
1431,022200001001431,6.0,,,,272.8215950461624,274.5691839984848,271.38757307934816
1010,022200001001010,6.0,,,,271.1912847200696,272.6195117589517,269.99555223085576
1185,022200001001185,6.0,,,,270.3821143164151,272.1614858876104,268.99348190971045
5007,022200001005007,6.0,,,,271.2562488555908,272.80086212158204,269.931867980957
1122,022200001001122,6.0,,,,273.4126943369226,275.1201377294971,272.0473365133664
5002,022200001005002,6.0,,,,270.0336688694432,271.94948796827816,268.34446657543054
1300,022200001001300,6.0,,,,272.34295511453416,273.8838792602332,270.9812061915752
5008,022200001005008,7.0,,,,271.5610313415527,273.728076171875,269.4880859375
1141,022200001001141,7.0,,,,271.6643613804835,273.50869278389956,269.895931181162
1469,022200001001469,7.0,,,,271.6363306497745,273.1328806504878,270.13829593031426
1514,022200001001514,7.0,,,,271.1327903957385,272.94286558467076,269.58981072506936
5003,022200001005003,7.0,,,,271.14679077062226,273.18535368321307,269.185267846059
1431,022200001001431,7.0,,,,273.3158833093958,275.2952483023628,271.5540195206893
1010,022200001001010,7.0,,,,271.6728071908813,273.2845118960889,270.244354222404
1185,022200001001185,7.0,,,,270.9891650103141,272.9143921893576,269.07093565567686
5007,022200001005007,7.0,,,,271.5610313415527,273.728076171875,269.4880859375
1122,022200001001122,7.0,,,,273.8010321039703,275.7860001578181,271.9642110379607
5002,022200001005002,7.0,,,,270.8499117136814,272.7963938566739,268.9682433542047
1300,022200001001300,7.0,,,,272.7128757746776,274.6890960399823,270.8459047359726
5008,022200001005008,8.0,,,,271.97613156636555,273.81133728027345,270.866064453125
1141,022200001001141,8.0,,,,271.65654489188506,273.38079295076597,270.4508995835252
1469,022200001001469,8.0,,,,271.30359788290997,273.29309679408505,270.03957822181445
1514,022200001001514,8.0,,,,270.8737649581711,272.8270464954871,269.5022124043095
5003,022200001005003,8.0,,,,271.2696197703733,273.1891214144432,270.1121141336732
1431,022200001001431,8.0,,,,273.47637136460867,275.144866346791,272.4704451355875
1010,022200001001010,8.0,,,,271.58777522196647,273.32290117711904,270.33484677602684
1185,022200001001185,8.0,,,,271.1767647397691,272.8517556895381,270.05773385089384
5007,022200001005007,8.0,,,,271.97613156636555,273.81133728027345,270.866064453125
1122,022200001001122,8.0,,,,274.08441781862865,275.64101575988167,273.1032327699047
5002,022200001005002,8.0,,,,270.763274978407,272.74319005854926,269.5717709719294
1300,022200001001300,8.0,,,,273.18430304471326,274.7588761908936,272.19449915924906
5008,022200001005008,9.0,,,,270.9942962010701,272.66795959472654,269.9410400390625
1141,022200001001141,9.0,,,,270.8063822230373,272.5317288813353,269.4343379465882
1469,022200001001469,9.0,,,,270.8639773571554,272.89346245031214,269.00889103698705
1514,022200001001514,9.0,,,,269.95192963452376,271.7629437650171,268.58720375665285
5003,022200001005003,9.0,,,,270.26410814382257,272.04614798335706,269.00465470653467
